poi_zip,origin_zip,date_range_start,number_of_visits_std,number_of_visits
90680,11111,2020-02-24T00:00:00-08:00,3.0,12.0
90680,11111,2020-03-02T00:00:00-08:00,1.0,4.0
90680,11111,2020-03-09T00:00:00-07:00,1.0,4.0
90680,11111,2020-03-23T00:00:00-07:00,1.0,4.0
90680,90630,2020-03-16T00:00:00-07:00,1.0,4.0
90680,90720,2020-02-24T00:00:00-08:00,1.0,4.0
90680,92683,2020-02-24T00:00:00-08:00,1.0,4.0
90680,92694,2020-03-09T00:00:00-07:00,1.0,4.0
90680,92703,2020-03-16T00:00:00-07:00,1.0,4.0
90680,92804,2020-02-24T00:00:00-08:00,5.0,20.0
90680,92804,2020-03-02T00:00:00-08:00,4.0,16.0
90680,92804,2020-03-09T00:00:00-07:00,9.0,18.0
90680,92804,2020-03-16T00:00:00-07:00,4.0,16.0
90680,92804,2020-03-23T00:00:00-07:00,1.0,4.0
90680,92804,2020-03-30T00:00:00-07:00,8.0,17.0
90680,92807,2020-02-24T00:00:00-08:00,1.0,4.0
90680,92841,2020-02-24T00:00:00-08:00,3.0,12.0
90680,92841,2020-03-02T00:00:00-08:00,1.0,4.0
90680,92841,2020-03-09T00:00:00-07:00,1.0,4.0
90680,92841,2020-03-16T00:00:00-07:00,1.0,4.0
90680,92841,2020-03-23T00:00:00-07:00,2.0,8.0
90680,92841,2020-03-30T00:00:00-07:00,7.0,13.0
90680,92843,2020-02-24T00:00:00-08:00,1.0,4.0
90680,92845,2020-02-24T00:00:00-08:00,1.0,4.0
